2026-02-15 14:58:00,555 | INFO | src.data.feature_scaling | Scaling features: ['communication_score', 'technical_score', 'skills_match_percentage', 'interview_score', 'years_of_experience']...
2026-02-15 14:58:00,560 | INFO | src.data.feature_scaling | Feature scaling completed
2026-02-15 14:58:01,111 | INFO | src.features.feature_engineering | Saved: fe_plots\Placement Probability Score.png
2026-02-15 14:58:01,111 | INFO | src.features.feature_engineering | Feature engineering completed successfully
2026-02-15 14:58:55,875 | INFO | __main__ | ML Pipeline started
2026-02-15 14:58:55,877 | INFO | src.data.data_load | Loading data from data/raw/HR_Job_Placement_Dataset.csv
2026-02-15 14:58:56,011 | INFO | src.data.data_load | Data loaded successfully from data/raw/HR_Job_Placement_Dataset.csv, shape: (51500, 26)
2026-02-15 14:58:56,012 | INFO | src.data.data_cleaning | starting data cleaning process....
2026-02-15 14:58:56,142 | INFO | src.data.data_cleaning | Data cleaning completed
2026-02-15 14:58:56,142 | INFO | src.data.data_preprocess | Starting data preprocessing (encoding)....
2026-02-15 14:58:56,191 | INFO | src.data.data_preprocess | Data preprocessing (encoding) completed
2026-02-15 14:58:56,195 | INFO | eda.eda | Starting EDA...
2026-02-15 14:58:56,394 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:58:56,426 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:58:56,519 | INFO | eda.eda | Saved: eda_plots\Interview score vs job acceptance.png
2026-02-15 14:58:56,671 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:58:56,697 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:58:56,763 | INFO | eda.eda | Saved: eda_plots\Skills Match Percentage vs Job Placement.png
2026-02-15 14:58:56,923 | INFO | eda.eda | Saved: eda_plots\Acceptance Rate by Company Tier.png
2026-02-15 14:58:57,070 | INFO | eda.eda | Saved: eda_plots\Placement Probability vs Years of Experience.png
2026-02-15 14:58:57,262 | INFO | eda.eda | Saved: eda_plots\Competition level vs job acceptance.png
2026-02-15 14:58:59,274 | INFO | eda.eda | Saved: eda_plots\Correlation Matrix of Numeric Features.png
2026-02-15 14:58:59,275 | INFO | eda.eda | EDA analysis completed successfully
2026-02-15 14:58:59,275 | INFO | src.features.feature_engineering | Starting feature engineering...
